id,referencia,score_calidad,etapa_comercial,tipo_oportunidad,sectores,materiales_detectados,precio_formateado,entidad,departamento,ciudad,modalidad,contratista_nombre,contratista_nit,accion_sugerida,url_secop,descripcion
CO1.REQ.11037225,SPO-001-2026,90,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,"fotovoltaica, energia solar","$1,034,392,900 COP",COMPAÑIA ENERGETICA DEL CARIBE S.A.S. ESP,Córdoba,Montería,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10891535,"CONSTRUCCIÓN DE SISTEMAS DE ENERGIA SOLAR FOTOVOLTAICA EN ZONAS RURALES DEL MUNICIPIO DE SAN ANTONIO DE PALMITO, DEPARTAMENTO DE SUCRE."
CO1.REQ.11023650,LP-003-2026,90,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$1,030,819,911 COP",ALCALDIA MUNICIPIO DE SONSON,Antioquia,Sonson,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10877902,"CONTRATAR LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE VIGENCIA 2026 EN EL MUNICIPIO DE SONSÓN, ANTIOQUIA."
CO1.REQ.10361018,SA-MC-01-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,Energía Solar & Alumbrado Público,"fotovoltaica, energía solar","$792,913,997 COP",Rama Judicial  Dirección Seccional de Administración Judicial de Pereira,Risaralda,Pereira,Selección Abreviada de Menor Cuantía,VHZ INGENIERIA S.A.S,900151289,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10217921,"Contratar, en nombre de la Nación - Consejo Superior de la Judicatura - Dirección Seccional de Administración Judicial de Pereira - Risaralda, el suministro, instalación, pruebas y puesta en funcionamiento de los sistemas de energía solar fotovoltaic"
CO1.REQ.11014161,CD-CLD-1010-005-2026,88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,Energía Solar & Alumbrado Público,"eficiencia energética, fotovoltaico","$753,580,800 COP",SENA REGIONAL CALDAS Grupo de Apoyo Administrativo Mixto,Caldas,No Definido,Contratación Directa (con ofertas),PROMOTORA ENERGÉTICA DEL CENTRO S.A.S E.S.P,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10868233,"IMPLEMENTAR UNA SOLUCIÓN INTEGRAL DE EFICIENCIA ENERGÉTICA MEDIANTE EL DISEÑO, SUMINISTRO, INSTALACIÓN, MONTAJE, PUESTA EN OPERACIÓN Y MANTENIMIENTO DE UN SISTEMA SOLAR FOTOVOLTAICO CONECTADO A LA RED ELÉCTRICA EN EL CENTRO DE DESARROLLO MINERO AMBIE"
CO1.REQ.11028510,RE-ESAL-AMVL-014-2026,88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$710,407,172 COP",MUNICIPIO DE VILLA DE LEYVA//,Boyacá,Villa De Leyva,Contratación régimen especial (con ofertas),PROSERVIRTE,900918168,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10885910,"AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS EN LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, ENTRE EL DEPARTAMENTO DE BOYACÁ Y EL MUNICIPIO DE VILLA DE LEYVA, PARA GARANTIZAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR -"
CO1.REQ.11007827,ESAL-001-2026,88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$576,730,100 COP",MUNICIPIO DE BETULIA,Antioquia,Betulia,Contratación régimen especial (con ofertas),CORPORACION FUERZA Y DESARROLLO,901466332,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10861272,"Ejecución del Programa de Alimentación Escolar (PAE) para los niños, niñas y adolescentes, estudiantes de las instituciones educativas oficiales del Municipio de Betulia"
CO1.REQ.10358371,COMPETITIVO-ESAL-002-2026,88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$529,529,000 COP",ALCALDÍA MUNICIPAL DE CHAPARRAL,Tolima,Chaparral,Contratación régimen especial (con ofertas),PRECOOPVIVERES,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10217842,"PRESTACIÓN DE SERVICIO DE ALIMENTACIÓN ESCOLAR (PAE) PARA NIÑOS, NIÑAS Y ADOLESCENTES DE LAS SEDES EDUCATIVAS DEL MUNICIPIO DE CHAPARRAL TOLIMA"
CO1.REQ.10955523,SAMT-SI-001-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,Energía Solar & Alumbrado Público,"alumbrado publico, luminarias led, fotovoltaico","$482,671,254 COP",MUNICIPIO DE TAURAMENA,Casanare,Tauramena,Selección Abreviada de Menor Cuantía,M&M MONTAJES SAS,900672506,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10812049,"CONSTRUCCIÓN ALUMBRADO PUBLICO FOTOVOLTAICO TIPO OFF GRID PARA LUMINARIAS LED STAND ALONE, EN LAS VEREDA JAGÜITO, EN EL MUNICIPIO DE TAURAMENA, CASANARE"
CO1.REQ.10985765,MT-ESAL-005-2026,88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$351,010,397 COP",ALCALDÍA MUNICIPAL DE TOTA,Boyacá,Tota,Contratación régimen especial (con ofertas),"CORPORACION, ARTE CULTURA Y DESARROLLO LIBRE",No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10840390,"AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS PARA LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, DURANTE EL SEGUNDO SEMESTRE AÑO 2026 EN ATENCIÓN AL CONVENIO INTERADMINISTRATIVO No. CO1.PCCNTR.9779301/2631 DE 2026"
CO1.REQ.10977606,ESAL N°. 003-2026,88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$303,175,052 COP",MUNICIPIO DE VENECIA ANTIOQUIA,Antioquia,Venecia,Contratación régimen especial (con ofertas),CORPORACIÓN BIENESTAR POR EL FUTURO,9014208543,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10831622,"INTEGRAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE VENECIA  ANTIOQUIA, NO CERTIFICADO EN EDUCACIÓN - ANTIOQUIA, PARA LA VIGENCIA 2026-2"
CO1.REQ.10962815,PC-001-2026,88,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$302,678,968 COP",ALCALDIA MUNICIPIO DE TOLEDO,Antioquia,No Definido,Contratación régimen especial (con ofertas),CORPORACION PROSPECTAR,900063428,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10817115,"Ejecutar las actividades técnicas, administrativas y logísticas requeridas para la implementación del Programa de Alimentación Escolar PAE, dirigido a los niños, niñas y adolescentes de la matrícula oficial del Municipio de Toledo, Antioquia, durante"
CO1.REQ.9495433,MP-LP-004-2025,83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$699,095,760 COP",MUNICIPIO DE PURIFICACION,Tolima,No Definido,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9347920,PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE) A LOS ESTUDIANTES MATRICULADOS EN LAS INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE PURIFICACIÓN TOLIMA
CO1.REQ.10989183,LP-002-2026,83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$670,380,479 COP",MUNICIPIO DE BARBOSA,Antioquia,Barbosa,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10843730,"INTEGRAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE BARBOSA ANTIOQUIA, NO CERTIFICADO EN EDUCACIÓN, PARA LA VIGENCIA 2026 - 2."
CO1.REQ.11014762,INT-SMC-029- 2026.,83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,"fotovoltaica, energía solar","$510,892,582 COP",FONDESCOL,Santander,Floridablanca,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10868870,"INTERVENTORIA TÉCNICA, ADMINISTRATIVA Y FINANCIERA PARA EL PROYECTO DENOMINADO CONSTRUCCIÓN DE SISTEMAS DE ENERGÍA SOLAR FOTOVOLTAICA EN LA ZONA RURAL DE CIÉNAGA, MAGDALENA"
CO1.REQ.11039443,SUBASTA INVERSA No. 003/2026 (Presentación de oferta),83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$470,460,291 COP",MUNICIPIO DE PEQUE,Antioquia,Peque,Selección abreviada subasta inversa,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10893555,"SUMINISTRO DE RACIÓN SEGUN MINUTA Y LA CONTRATACIÓN DEL PERSONAL MANIPULADOR DE ALIMENTOS DESTINADO A LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE), DIRIGIDO A NIÑOS, NIÑAS Y ADOLESCENTES CARACTERIZADOS EN LA MATRICULA OFICIAL DEL MUNICIPIO"
CO1.REQ.11025273,SASI-009-2026,83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$373,627,090 COP",MUNICIPIO DE AMAGA,Antioquia,Amagá,Selección abreviada subasta inversa,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10881155,"INTEGRAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE AMAGÁ - ANTIOQUIA, NO CERTIFICADO EN EDUCACIÓN, PARA LA VIGENCIA 2026-2"
CO1.REQ.11065962,SAMC-014-2026 (Manifestación de interés (Menor Cuantía)),83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,"alumbrado público, fotovoltaico","$332,719,049 COP",CORMACARENA,Meta,Villavicencio,Selección Abreviada de Menor Cuantía,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10922511,"IMPLEMENTACIÓN DE SOLUCIONES ENERGÉTICAS RENOVABLES MEDIANTE ALUMBRADO PÚBLICO FOTOVOLTAICO, ORIENTADOS A FORTALECER LA INFRAESTRUCTURA COMUNITARIA A LOS RESGUARDOS INDÍGENAS DE EL TIGRE,  WALLIANAE (PUERTO GAITÁN), NAEXAL PUT (PUERTO CONCORDIA), DOK"
CO1.REQ.11061828,No.IN-031-2026,83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,"fotovoltaica, energía solar","$314,877,620 COP",FONER,Valle del Cauca,Cali,Contratación régimen especial,ASOCIACION GREMIAL ODS POR COLOMBIA,901901061,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10918117,"INTERVENTORÍA TÉCNICA, FINANCIERA, JURÍDICA, ADMINISTRATIVA Y SOCIAL DEL CONTRATO DE OBRA CONSTRUCCIÓN DE SISTEMAS AUTÓNOMOS DE GENERACIÓN DE ENERGÍA SOLAR FOTOVOLTAICA PARA LA ENERGIZACIÓN DE VIVIENDAS EN LAS ZONAS RURALES NO INTERCONECTADAS DEL MUN"
CO1.REQ.10544714,4100000839,83,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Acero & Metalmecánica,"varilla, acero","$313,886,112 COP",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,Medellín,Contratación régimen especial,Ferreteria Los Fierros,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10400921,"Perfil cuadrado en acero uso metalmecanico 6m 1 1/2' x 1 1/2' x 3mm, varilla de acero lisa n°4 diametro 1/2' longitud 6m, varilla de acero lisa diametro 3/16' longitud 6m, varilla de acero carbon lisa 1/4' 6m uso metalmecanico, perfil cuadrado en ace"
CO1.REQ.9045709,AIM-CD-494-2025,80,Borrador de Pliegos,Oportunidad Pre-Licitación,Energía Solar & Alumbrado Público,"redes eléctricas, sistemas fotovoltaicos","$9,516,859,527 COP",AGENCIA PARA LA INFRAESTRUCTURA DEL META,Meta,Villavicencio,Contratación directa,No Definido,No Definido,Notificar a clientes contratistas para que soliciten observaciones o preparen propuesta de consorcio.,https://community.secop.gov.co/STS/Users/Login/Index,AUNAR ESFUERZOS PARA LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE SISTEMAS FOTOVOLTAICOS Y REDES ELÉCTRICAS A VIVIENDAS RURALES EN LOS MUNICIPIOS DE DEPARTAMENTO DEL META
CO1.REQ.10391024,LP-002-2026,80,Proceso Activo (Evaluación),Monitoreo Comercial,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$9,266,816,762 COP",MUNICIPIO DE CIENAGA,Magdalena,Ciénaga,Licitación pública,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10248728,SUMINISTRO DE UN COMPLEMENTO ALIMENTARIO PARA LOS ESTUDIANTES DE LOS ESTABLECIMIENTOS EDUCATIVOS PRIORIZADOS EN EL PROGRAMA DE ALIMENTACIÓN ESCOLAR DEL MUNICIPIO DE CIÉNAGA
CO1.REQ.11066961,OP017-2026,80,Proceso Activo (Seleccionado),Monitoreo Comercial,Energía Solar & Alumbrado Público,"alumbrado público, fotovoltaico","$8,814,281,333 COP",ASOCIACIÓN DE MUNICIPIOS DEL NORTE ANTIOQUEÑO- AMUNORTE,Antioquia,Medellín,Contratación directa,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10923386,"CONTRATO DE OBRA PARA LA AMPLIACIÓN DEL ALUMBRADO PÚBLICO SOLAR FOTOVOLTAICO MEDIANTE SUMINISTRO, INSTALACIÓN Y MONITOREO EN TRAMOS DE UNIÓN PANAMERICANA, CHOCÓ: 1. VÍA SAN PABLO; 2. EL DOS RASPADURA; 3. RASPADURA-QUIADÓ; 4. SALERO-LA YE; 5. LA YE CA"
CO1.REQ.10388408,LP-006-2026,80,Proceso Activo (Evaluación),Monitoreo Comercial,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$7,012,656,000 COP",ALCALDIA DISTRITO DE RIOHACHA,La Guajira,Riohacha,Licitación pública,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10250035,"FORTALECIMIENTO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE,
MEDIANTE LA ENTREGA DE COMPLEMENTO ALIMENTARIO NUTRICIONAL
DEPERMANENCIADENOMINADA, LÍNEA DE INTERVENCIÓN 1.2 HAMBRE CERO, FASE 2
VIGENCIA 2026 EN EL DISTRITO DE RIOHACHA"
